chunk_id,section_number,chunk_text
1d924aa8-cc5c-4533-8df1-60db77c5dffa,1,Title and extent of operation of the Code.
f12e0507-54f0-43d9-a4bf-2471c60e6b50,2,Punishment of offences committed within India.
8658567b-3e1f-46a7-87cb-c7898f4d02b0,3,"Punishment of offences committed beyond, but which by law may be tried within, India."
f90ee631-0c91-4729-8f7b-b1bdedbc9390,4,Extension of Code to extra-territorial offences.
ab5cf5ab-3b4b-4253-acc4-92b471cb85b8,5,Certain laws not to be affected by this Act. CHAPTER II GENERAL EXPLANATIONS
d1b74060-3e0d-4ea7-886b-e71f5bd298ed,6,Definitions in the Code to be understood subject to exceptions.
62c17278-6b70-42d2-853f-5beb8d4f3940,7,Sense of expression once explained.
2f41a6d7-d28e-4df4-a9f3-a6f29422f18b,8,Gender.
97eb51e2-f703-489b-b17b-f489d92058ea,9,Number.
97e53be3-1ef6-404e-a657-b66dd70303b4,10,"""Man"". ""Woman""."
a0373f83-b799-4648-9b7a-c5d8dd06f6c4,11,"""Person""."
b655fea5-fa4a-4c5d-b7ae-acbd28216424,12,"""Public""."
16d5969e-d6bc-4f1d-8eb9-8586b5bde3d7,13,[Omitted.]
99afa0db-2c92-48a7-862f-f9f75c02736a,14,"""Servant of Government""."
a145f74e-0f77-469d-88e0-5ffdcac4c51d,15,[Repealed.]
49b30094-fd96-4edb-a1a5-40dddd17a52b,16,[Repealed.]
dd1f3b39-4094-49ad-9f78-01d411c890e9,17,"""Government""."
6022f088-f13a-49bd-bbee-df71f0f7df68,18,"""India""."
37a77543-94f5-4375-9a6a-13890c14a700,19,"""Judge""."
b90aadc9-221a-4b16-a8da-71095dca64ca,20,"""Court of Justice""."
fdce8be4-bbe0-47b1-a882-9e1b29b49c3a,21,"""Public servant""."
b529873c-104d-45ba-90e4-ca7bf2d77824,22,"""Moveable property""."
adc7c723-37b1-4b50-b985-ffe87f6cf990,23,"""Wrongful gain"". ""Wrongful loss"". Gaining wrongfully/ Losing wrongfully."
dc45e2f6-4388-49c9-bd7a-f42f03ba7518,24,"""Dishonestly""."
2d88eba0-df71-4170-ac2c-1893378eb81f,25,"""Fraudulently""."
03e8ca48-5f51-450b-b737-63fda3f191c6,26,"""Reason to believe""."
fcb728d7-fc38-4c29-ac56-a745a4a4a65f,27,"Property in possession of wife, clerk or servant."
841b3741-5668-45a8-8647-8a0af5384bf9,28,"""Counterfeit""."
83388127-9d90-4640-a10d-98035e1d259c,29,"""Document""."
9da6f967-afcf-48ef-9e26-ce6e6cf1d0d6,29A,"""Electronic record""."
25c69291-ef4b-4324-9cb1-eec598707695,30,"""Valuable security""."
88f2a72e-b525-4ab3-835f-e4defc9027c8,31,"""A will""."
782d5b0c-ffb0-4093-bca5-1bdb6218bff3,32,Words referring to acts include illegal omissions.
cb3dd17d-9096-44db-a4b4-af9f79a8046d,33,"""Act"". ""Omission""."
16a8e17e-371c-47e6-8331-427d77492569,34,Acts done by several persons in furtherance of common intention.
fb79b11a-9233-4f38-a691-d46cc827ec94,35,When such an act is criminal by reason of its being done with a criminal knowledge or intention.
cc8416b7-61cf-46a1-bc55-f6043fe25a67,36,Effect caused partly by act and partly by omission.
efff401b-0806-48be-90e3-144c4b671481,37,Co-operation by doing one of several acts constituting an offence. 1 --- Page 2 --- SECTIONS
f20a9755-2e2f-4f9e-bb78-b8b6ce7e89a0,38,Persons concerned in criminal act may be guilty of different offences.
76a94c8a-16c6-424f-83fa-543a364f6016,39,"""Voluntarily""."
3def315a-3512-4127-9b24-a0c116d789fc,40,"""Voluntarily""."
64ffec23-3499-4a2d-bc51-212820dc15be,41,"""Special law""."
19a069b8-e7a2-483a-aecc-a1be9397278e,42,"""Local law""."
90776bcf-a1de-4e01-a4c9-c6710d839296,43,"""Illegal"". ""Legally bound to do""."
dca62210-e390-4cd4-b864-62f467ddf758,44,"""Injury""."
a59cb333-8ed1-4819-904c-b2c3be177b28,45,"""Life""."
db597baf-aeba-4f48-afc4-0f179799db0a,46,"""Death""."
c3a0185a-9c7f-445b-b71c-2acff0b8a893,47,"""Animal""."
71e068ce-b2d2-4012-b483-0b88409606fe,48,"""Vessel""."
f1a94102-fec2-4f59-945c-ca632e3e5883,49,"""Year"". ""Month""."
35d637f7-9919-41e3-b291-e29f92dcb658,50,"""Section""."
1e412656-cf60-4a03-810b-a342c6d2bedc,51,"""Oath""."
4af47567-e11a-4c4c-a5c7-dc5dc3faf09f,52,"""Good faith""."
db5f93cb-c74b-4690-bcab-71071b3f843e,52A,"""Harbour"". CHAPTER III OF PUNISHMENTS"
702a2b40-c00b-4d22-b5e6-d3e7718e0a83,53,Punishments.
b98b847f-b02f-47c5-82ff-1c3ba90c8bcf,53A,Construction of reference to transportation.
4629344a-3241-4b54-90e5-4fb0329fb12d,54,Commutation of sentence of death.
d93a33c5-f47a-4351-8e38-b2f87a268202,55,Commutation of sentence of imprisonment for life.
6f513116-9df1-4c33-af79-4f959b4e6084,55A,"Definition of ""appropriate Government""."
450f4f69-fc4a-4bee-a460-0b035877aa74,56,[Repealed.]
e671e201-38e6-4f8a-a793-37cea5af2938,57,Fractions of terms of punishment.
672d1894-7a1e-4450-93da-6ff3f3181508,58,[Repealed.]
f293b0e9-89c7-407f-9073-7834efeb7b2f,59,[Repealed.]
5c45de7c-6da5-4a96-b287-e7391a484fd1,60,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous of simple.
e711715d-2e26-45a3-b77c-854a5166cda4,61,[Repealed.]
a14a05a8-6cff-44f3-9b1a-b17c75d8bc5e,62,[Repealed.]
ef7e5b25-1826-4585-8556-e01ec055d06b,63,Amount of fine.
7e314ec2-7da8-4e90-b3ac-c96ede6341d9,64,Sentence of imprisonment for non-payment of fine.
a29da173-44cf-4651-b831-af5f53e60170,65,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable."
aa33a499-1207-4c38-97e0-61b8bb7914cc,66,Description of imprisonment for non-payment of fine.
fcf4012a-7a2e-4042-8b81-1e445b1204a8,67,"Imprisonment for non-payment of fine, when offence punishable with fine only."
8cfe90ad-b461-40de-ad2c-a974b6e88a1a,68,Imprisonment to terminate on payment of fine.
344200c9-a766-4dee-865d-3f453b4d228b,69,Termination of imprisonment on payment of proportional part of fine.
72aba66c-be1d-48ee-abe8-6ffd1bc92bc3,70,"Fine leviable within six years, of during imprisonment. Death not to discharge property from liability."
2651a72e-bb7b-47d3-8368-6d9db14f9998,71,Limit of punishment of offence made up of several offences.
eddf20cf-20a5-4ffe-946b-315886790623,72,"Punishment of person guilty of one of several offences, the judgment stating that is doubtful of which."
aea67048-7c1d-4297-a40d-1c7d29d50808,73,Solitary confinement.
4c5b7e97-2217-4f95-bb7a-2e4c1e544c8a,74,Limit of solitary confinement.
34c1d604-2423-46ba-9575-d8a19f5d83bc,75,Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction. CHAPTER IV GENERAL EXCEPTIONS
6b523234-0d9c-4753-b010-7d07eb679bb8,76,"Act done by a person bound, or by mistake of fact believing himself bound, by law."
8af48fbe-3a06-4640-8ef8-b65515cc10f4,77,Act of Judge when acting judicially.
20bfb79e-8981-4401-8066-a0bbdec2456f,78,Act done pursuant to the judgment or order of Court.
a27773d3-3aa7-46fa-b851-f888b5a2e69c,79,"Act done by a person justified, or by mistake of fact believing himself justified, by law."
5a13e6ff-2a3d-43c9-8376-b81163ebc42e,80,Accident in doing a lawful act.
f7bb1e56-67b8-4322-a101-45b6247b4e72,81,"Act likely to cause harm, but done without criminal intent, and to prevent other harm. 2 --- Page 3 --- SECTIONS"
ff7f0208-8090-4c2f-8b97-ae72b0647c6c,82,Act of a child under seven years of age.
2a856e27-4d95-4f9f-be79-ec4509ede36e,83,Act of a child above seven and under twelve of immature understanding.
ce90880a-d0a9-4f62-97a5-0bad52f93cb8,84,Act of a person of unsound mind.
91c2d03a-19b2-4d24-822e-37bca5f85f45,85,Act of a person incapable of judgment by reason of intoxication caused against his will.
2f25a153-4823-4ec2-936d-0565014099fc,86,Offence requiring a particular intent or knowledge committed by one who is intoxicated.
de28719c-402c-490f-ba73-cc7e1621cdc4,87,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent."
8c0372bb-9d44-4393-8dd8-2564b300cc31,88,"Act not intended to cause death, done by consent in good faith for person's benefit."
92c4bf92-c4f1-439a-a2f4-5cbaa1169814,89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian. Provisos."
2e47ba35-0db9-465e-83da-43b174b00049,90,Consent known to be given under fear or misconception. Consent of insane person. Consent of child.
895b633b-61bb-492f-a9c7-03818865730f,91,Exclusion of acts which are offences independently of harm caused.
86d28cef-66fe-478b-8b92-1cefb639cee8,92,Act done in good faith for benefit of a person without consent. Provisos.
9cc8aa90-b908-481f-aac2-764f082dce84,93,Communication made in good faith.
1531b77f-458c-445d-879f-8d0ab2f6258a,94,Act to which a person is compelled by threats.
141af0c0-cb0e-467f-a290-653a9fca3677,95,Act causing slight harm. Of the Right of Private Defense
41109b94-3ff0-40ce-b6a6-e23936b7cb04,96,Things done in private defence.
950167e5-7ba1-449d-a096-9b29a27e1ad4,97,Right of private defence of the body and of property.
01edc28f-070e-46eb-b688-00db4c22083a,98,Right of private defence against the act of a person of unsound mind. etc.
9d4ee652-34f8-47d3-bbe4-1d7088cc99bd,99,Acts against which there is no right of private defence. Extent to which the right may be exercised.
ac73fbc6-0e74-43d7-b4dd-2545a5afdb91,100,When the right of private defence of the body extends to causing death.
8de3ad27-8ee9-46e1-aaa8-47ade3d0a19d,101,When such right extends to causing any harm other than death.
